participant_id,survey_type,outside_activity_engagement,outside_activity_frequency,days_checked_for_smoke_info,reduced_outdoor_activities_due_to_smoke,consecutive_days_reduced_outdoor_activity,min_aqi_reduce_activity,min_aqi_eliminate_activity,motivating_info_to_reduce_outdoor_activity
Participant 408,in_person,Yes – Please list the activities __________________,Once per week,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Yellow – Moderate,Air quality information
Participant 408,online,Yes – Please list the activities __________________,Once per week,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 409,in_person,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Maroon – Hazardous,Maroon – Hazardous,Advice from family and friends
Participant 409,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 41,in_person,Yes – Please list the activities __________________,Once per week,6-7 days,Yes,6 days and more,Yellow – Moderate,Yellow – Moderate,Air quality information
Participant 41,online,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 410,in_person,Yes – Please list the activities __________________,Daily,3 days,Yes,5 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 410,online,Yes – Please list the activities __________________,Daily,3 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 411,in_person,Yes – Please list the activities __________________,Daily,4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 411,online,Yes – Please list the activities __________________,A few times per week,3 days,No,0 days,Purple – Very Unhealthy,Red – Unhealthy,Air quality information
Participant 412,in_person,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Maroon – Hazardous,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 412,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 413,in_person,Yes – Please list the activities __________________,Once per week,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 413,online,Yes – Please list the activities __________________,A few times per week,4-5 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,
Participant 414,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 414,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 415,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,
Participant 415,online,Yes – Please list the activities __________________,Once per week,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 416,in_person,Yes – Please list the activities __________________,Daily,2 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 416,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 417,in_person,Yes – Please list the activities __________________,Daily,4-5 days,Yes,4 days,,,Air quality information
Participant 417,online,Yes – Please list the activities __________________,Daily,0 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 418,in_person,Yes – Please list the activities __________________,Daily,4-5 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 418,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 419,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 419,online,No (skip to question 11),,,No,0 days,Red – Unhealthy,Red – Unhealthy,Advice from your doctor
Participant 42,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 42,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 420,in_person,Yes – Please list the activities __________________,A few times per week,,Yes,5 days,Red – Unhealthy,Maroon – Hazardous,Air quality information
Participant 420,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,3 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 421,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 421,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 422,in_person,Yes – Please list the activities __________________,A few times per week,1 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 422,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 423,in_person,Yes – Please list the activities __________________,A few times per week,2 days,No,4 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 423,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 424,in_person,Yes – Please list the activities __________________,Daily,3 days,Yes,1 to 2 days,I am not familiar with this rating,,Air quality information
Participant 424,online,No (skip to question 11),,,,0 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 425,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 425,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 426,in_person,Yes – Please list the activities __________________,A few times per week,0 days,Yes,3 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 426,online,No (skip to question 11),,6-7 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 427,in_person,Yes – Please list the activities __________________,Rarely – A few times during the summer,6-7 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Yellow – Moderate,Smoke-related health problem statistics
Participant 427,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 428,in_person,Yes – Please list the activities __________________,Daily,1 days,Yes,0 days,Maroon – Hazardous,,Your own visual observation (seeing the smoke outside)
Participant 428,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 429,in_person,Yes – Please list the activities __________________,Daily,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 429,online,,,,,,,,
Participant 43,in_person,Yes – Please list the activities __________________,Once per week,2 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 43,online,No (skip to question 11),,0 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 430,in_person,No (skip to question 11),,,No,0 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 430,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 431,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Advice from family and friends
Participant 431,online,Yes – Please list the activities __________________,A few times per week,1 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 432,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 432,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Yellow – Moderate,Yellow – Moderate,Your own visual observation (seeing the smoke outside)
Participant 433,in_person,Yes – Please list the activities __________________,Once per week,6-7 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 433,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 434,in_person,Yes – Please list the activities __________________,Daily,3 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Smoke-related health problem statistics
Participant 434,online,Yes – Please list the activities __________________,Daily,6-7 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,
Participant 435,in_person,Yes – Please list the activities __________________,Once per week,3 days,No,0 days,,,Air quality information
Participant 435,online,Yes – Please list the activities __________________,Daily,3 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Air quality information
Participant 436,in_person,Yes – Please list the activities __________________,Daily,2 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 436,online,Yes – Please list the activities __________________,A few times per week,,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 437,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 437,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 438,in_person,Yes – Please list the activities __________________,Daily,4-5 days,Yes,3 days,Purple – Very Unhealthy,Maroon – Hazardous,Air quality information
Participant 438,online,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 439,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Air quality information
Participant 439,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 44,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 44,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 440,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 440,online,No (skip to question 11),,4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 441,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Advice from family and friends
Participant 441,online,Yes – Please list the activities __________________,Once per week,1 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 442,in_person,Yes – Please list the activities __________________,Daily,2 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke forecasts
Participant 442,online,Yes – Please list the activities __________________,Daily,2 days,Yes,3 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 443,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 443,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Yellow – Moderate,Yellow – Moderate,Smoke-related health problem statistics
Participant 444,in_person,Yes – Please list the activities __________________,A few times per week,0 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 444,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,4 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 445,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,,,Advice from your doctor
Participant 445,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,5 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 446,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",0 days,No,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 446,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 447,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Red – Unhealthy,Maroon – Hazardous,Advice from your doctor
Participant 447,online,Yes – Please list the activities __________________,A few times per week,1 days,No,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 448,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Air quality information
Participant 448,online,Yes – Please list the activities __________________,A few times per week,0 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 449,in_person,Yes – Please list the activities __________________,Daily,4-5 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 449,online,Yes – Please list the activities __________________,Daily,2 days,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 45,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 45,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",0 days,Yes,3 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 450,in_person,Yes – Please list the activities __________________,Once per week,1 days,No,0 days,,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 450,online,Yes – Please list the activities __________________,Once per week,3 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 451,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Advice from family and friends
Participant 451,online,Yes – Please list the activities __________________,Daily,,Yes,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 452,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,3 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 452,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 453,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 453,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",0 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Advice from family and friends
Participant 454,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 454,online,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 455,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Advice from family and friends
Participant 455,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",1 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 456,in_person,No (skip to question 11),Daily,,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 456,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Red – Unhealthy,I am not familiar with this rating,Air quality information
Participant 457,in_person,Yes – Please list the activities __________________,Once per week,0 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 457,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",4-5 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 458,in_person,Yes – Please list the activities __________________,Once per week,1 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Advice from your doctor
Participant 458,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 459,in_person,Yes – Please list the activities __________________,Once per week,1 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 459,online,Yes – Please list the activities __________________,Daily,3 days,Yes,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 46,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 46,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 460,in_person,Yes – Please list the activities __________________,Once per week,0 days,Yes,6 days and more,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 460,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",3 days,Yes,1 to 2 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 461,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Yellow – Moderate,Maroon – Hazardous,Smoke forecasts
Participant 461,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,
Participant 462,in_person,No (skip to question 11),Rarely – A few times during the summer,0 days,No,0 days,Maroon – Hazardous,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 462,online,Yes – Please list the activities __________________,Daily,3 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 463,in_person,Yes – Please list the activities __________________,A few times per week,1 days,Yes,3 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 463,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 464,in_person,Yes – Please list the activities __________________,Daily,2 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 464,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,6 days and more,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 465,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 465,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,4-5 days,Yes,6 days and more,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 466,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",6-7 days,Yes,5 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 466,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,0 days,Yes,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 467,in_person,Yes – Please list the activities __________________,Daily,1 days,Yes,6 days and more,Red – Unhealthy,Purple – Very Unhealthy,Advice from family and friends
Participant 467,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Red – Unhealthy,Maroon – Hazardous,Smoke-related health problem statistics
Participant 468,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Advice from your doctor
Participant 468,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 469,in_person,Yes – Please list the activities __________________,A few times per week,,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Advice from family and friends
Participant 469,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 47,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",1 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 47,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 470,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 470,online,Yes – Please list the activities __________________,A few times per week,,Yes,6 days and more,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 471,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,,Smoke-related health problem statistics
Participant 471,online,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 472,in_person,Yes – Please list the activities __________________,A few times per week,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Smoke-related health problem statistics
Participant 472,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 473,in_person,Yes – Please list the activities __________________,A few times per week,3 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,Advice from family and friends
Participant 473,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke forecasts
Participant 474,in_person,Yes – Please list the activities __________________,Once per week,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 474,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Purple – Very Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 475,in_person,Yes – Please list the activities __________________,Daily,4-5 days,Yes,4 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 475,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 476,in_person,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 476,online,Yes – Please list the activities __________________,A few times per week,6-7 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 477,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 477,online,No (skip to question 11),,2 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 478,in_person,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 478,online,Yes – Please list the activities __________________,Once per week,,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 479,in_person,Yes – Please list the activities __________________,A few times per week,0 days,Yes,1 to 2 days,Purple – Very Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 479,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Red – Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 48,in_person,Yes – Please list the activities __________________,A few times per week,2 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 48,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",1 days,Yes,5 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 480,in_person,Yes – Please list the activities __________________,Daily,3 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 480,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 481,in_person,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 481,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 482,in_person,Yes – Please list the activities __________________,Daily,2 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,
Participant 482,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Red – Unhealthy,Yellow – Moderate,Air quality information
Participant 483,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 483,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 484,in_person,Yes – Please list the activities __________________,A few times per week,1 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 484,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Air quality information
Participant 485,in_person,No (skip to question 11),,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 485,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 486,in_person,Yes – Please list the activities __________________,A few times per week,1 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 486,online,Yes – Please list the activities __________________,Daily,3 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 487,in_person,Yes – Please list the activities __________________,Daily,6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 487,online,No (skip to question 11),,0 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 488,in_person,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Advice from your doctor
