participant_id,reduced_outdoor_activities_due_to_smoke,outside_activity_frequency,min_aqi_reduce_activity,min_aqi_eliminate_activity
Participant 1563,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1564,No,~1-3 per summer,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1565,Yes,~1 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1566,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1567,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1568,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1569,No,~3 per week,I am not familiar with this rating,"101-150:
Unhealthy for
 Sensitive Grps."
Participant 1571,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1572,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1573,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1574,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1575,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1577,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 1578,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1579,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 158,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 158,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1580,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 1582,Yes,~1-3 per month,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1583,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1584,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1585,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1588,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 159,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 159,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1590,Yes,~1 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1591,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1592,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1593,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1594,Yes,Daily,"0-50:
Good","51-100:
Moderate"
Participant 1595,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1596,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1598,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1599,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 16,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 16,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 160,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 160,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1602,Yes,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 1603,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1604,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1605,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1606,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1608,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1609,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 161,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 161,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1610,No,Daily,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 1611,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1612,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1613,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1614,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1615,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1616,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1617,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1618,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1619,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 162,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 162,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1621,Yes,~1-3 per summer,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1622,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1623,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1625,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1628,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 163,Yes,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 163,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1631,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1632,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1634,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1635,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1636,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1637,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1638,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 1639,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 164,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 164,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1640,Yes,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1641,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1642,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1643,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1644,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1646,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1647,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1648,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1649,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 165,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1650,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1653,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1654,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1655,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1657,Yes,~3 per week,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 1658,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1659,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 166,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1660,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1661,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1662,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1663,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1664,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1665,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1667,Yes,Daily,"51-100:
Moderate","151-200:
Unhealthy"
Participant 1669,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 167,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 167,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1670,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1671,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1672,No,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1673,Yes,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 1674,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1675,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1676,No,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1677,No,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1679,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 168,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 168,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1680,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1681,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1682,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1683,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1684,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 1685,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1688,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 169,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 169,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 1691,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1694,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 17,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 1701,No,Daily,"51-100:
Moderate","51-100:
Moderate"
Participant 171,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 171,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 1710,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1713,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 1717,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 172,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 172,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1721,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1723,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 1724,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 173,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1734,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 1736,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 1737,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1738,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 174,No,~1-3 per month,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 174,No,~1-3 per month,"51-100:
Moderate","151-200:
Unhealthy"
Participant 1740,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 1741,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1742,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 1743,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1744,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 1746,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 175,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 175,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 176,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 176,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 177,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 177,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 178,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 179,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 18,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 18,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 180,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 180,No,~1-3 per summer,I am not familiar with this rating,I am not familiar with this rating
Participant 181,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 181,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 182,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 182,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 183,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 184,No,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 185,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 186,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 186,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 187,Yes,~1-3 per month,"51-100:
Moderate","51-100:
Moderate"
Participant 188,No,Daily,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 188,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 189,Yes,~3 per week,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 189,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 19,No,Never,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 19,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 190,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 191,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 192,No,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 192,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 193,No,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 193,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 195,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 195,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 196,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 196,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 197,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 197,Yes,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 198,No,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 198,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 199,No,~1-3 per summer,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 199,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 2,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 2,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 20,Yes,~1-3 per summer,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 20,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 200,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 200,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 201,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 201,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 202,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 202,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 203,No,~1 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 203,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 204,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 204,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 205,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 205,No,~3 per week,"301+:
Hazardous","201-300:
Very Unhealthy"
Participant 206,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 206,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 207,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 207,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 208,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 209,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 21,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 21,Yes,~1 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 210,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 210,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 211,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 212,No,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 212,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 213,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 213,No,~1-3 per summer,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 214,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 214,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 215,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 215,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 216,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 216,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 217,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 217,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 218,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 218,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 219,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 219,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 22,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 22,Yes,~1 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 220,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 221,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 221,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 222,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 222,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 223,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 223,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 224,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 224,No,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 225,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 225,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 227,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 227,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 228,Yes,Daily,"151-200:
Unhealthy","51-100:
Moderate"
Participant 229,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 229,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","51-100:
Moderate"
Participant 23,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 23,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 230,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 231,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 231,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 232,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 232,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 233,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 233,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 234,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 234,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 235,Yes,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 235,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 236,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 236,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 237,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 237,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 238,No,~1-3 per month,I am not familiar with this rating,I am not familiar with this rating
Participant 238,Yes,Daily,"51-100:
Moderate","151-200:
Unhealthy"
Participant 239,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 239,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 24,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 240,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 241,Yes,~1-3 per month,I am not familiar with this rating,I am not familiar with this rating
Participant 241,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 242,No,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 242,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 243,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 243,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 244,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 244,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 245,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 245,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 246,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 247,No,~1 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 247,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
